Year,X,Y,Z
2018,354370.5542,4066474.22,251.6070251
2018,354469.8244,4066486.28,230.2765656
2018,354569.0945,4066498.34,228.3767548
2018,354668.3647,4066510.4,228.2589569
2018,354767.6348,4066522.46,228.1427612
2018,354866.9049,4066534.52,227.7129059
2018,354966.1751,4066546.579,226.4816895
2018,355065.4452,4066558.639,226.3073578
2018,355164.7154,4066570.699,228
2018,355263.9855,4066582.759,228
2018,355363.2557,4066594.819,227.9707031
2018,355462.5258,4066606.878,227.1890259
2018,355561.7959,4066618.938,228.5728607
2018,355661.0661,4066630.998,249.551712
2018,355760.3362,4066643.058,296.4360352
2018,355859.6064,4066655.118,288.5350647
2018,355958.8765,4066667.178,266.263855
2018,356058.1466,4066679.237,259.4546204
2018,356157.4168,4066691.297,270.8451538
2018,356256.6869,4066703.357,279.8172302
2018,356325.6242,4066711.732,281.8948364
2018,354258.3925,4066359.072,286.8706665
2018,354357.6616,4066371.141,268.1711121
2018,354456.9307,4066383.209,233.313446
2018,354556.1999,4066395.277,229.3058014
2018,354655.469,4066407.345,228.8306274
2018,354754.7381,4066419.413,228.6955566
2018,354854.0072,4066431.481,228.4262543
2018,354953.2764,4066443.55,227.7128906
2018,355052.5455,4066455.618,226.1998901
2018,355151.8146,4066467.686,228.3563538
2018,355251.0837,4066479.754,228.3729401
2018,355350.3528,4066491.822,228.3020477
2018,355449.622,4066503.891,228
2018,355548.8911,4066515.959,229.2218628
2018,355648.1602,4066528.027,241.4876404
2018,355747.4293,4066540.095,286.507782
2018,355846.6985,4066552.163,286.3834229
2018,355945.9676,4066564.231,282.8821716
2018,355994.8944,4066570.179,282.1800537
2018,354240.125,4066256.11,282.5047607
2018,354339.392,4066268.195,265.0443726
2018,354438.6591,4066280.281,239.0773468
2018,354537.9261,4066292.366,230.8824463
2018,354637.1932,4066304.451,229.7825928
2018,354736.4602,4066316.536,229.3980408
2018,354835.7273,4066328.621,229.0418854
2018,354934.9943,4066340.707,227.6259766
2018,355034.2614,4066352.792,227.4838257
2018,355133.5284,4066364.877,228.892395
2018,355232.7955,4066376.962,228.9362946
2018,355332.0625,4066389.048,228.782135
2018,355431.3296,4066401.133,228.4181061
2018,355530.5966,4066413.218,229.6081238
2018,355629.8637,4066425.303,234.1963654
2018,355729.1307,4066437.388,251.0185242
2018,355828.3978,4066449.474,261.5246277
2018,355927.6648,4066461.559,282.6062622
2018,355934.825,4066462.431,282.6335449
2018,354280.7844,4066160.322,305.5703125
2018,354380.0534,4066172.391,260.3381958
2018,354479.3225,4066184.459,238.2596893
2018,354578.5915,4066196.528,231.4419556
2018,354677.8606,4066208.597,230.7345734
2018,354777.1296,4066220.666,230.2654572
2018,354876.3987,4066232.735,229.5361176
2018,354975.6677,4066244.803,227.8992615
2018,355074.9368,4066256.872,228.9106445
2018,355174.2058,4066268.941,229.5074921
2018,355273.4749,4066281.01,229.4645844
2018,355372.7439,4066293.079,229.2630615
2018,355472.013,4066305.147,229.0005798
2018,355571.282,4066317.216,231.3730011
2018,355670.5511,4066329.285,240.2418671
2018,355769.8201,4066341.354,261.4066772
2018,355869.0892,4066353.422,281.8975525
2018,355932.7172,4066361.158,280.3197021
2018,354323.8643,4066064.828,316.3565063
2018,354423.1354,4066076.879,265.7956543
2018,354522.4066,4066088.931,235.5838318
2018,354621.6778,4066100.982,231.9883575
2018,354720.949,4066113.033,231.6172638
2018,354820.2202,4066125.084,231.1974335
2018,354919.4914,4066137.135,230.4212189
2018,355018.7625,4066149.187,228.9546967
2018,355118.0337,4066161.238,230.0483246
2018,355217.3049,4066173.289,230.1105652
2018,355316.5761,4066185.34,229.9952393
2018,355415.8473,4066197.392,229.8403778
2018,355515.1185,4066209.443,229.896347
2018,355614.3897,4066221.494,233.8499756
2018,355713.6608,4066233.545,276.2778015
2018,355812.932,4066245.596,277.4639587
2018,355912.2032,4066257.648,280.5431824
2018,356011.4744,4066269.699,281.2479248
2018,356047.8112,4066274.11,282.1495056
2018,354318.9927,4065963.497,317.1063538
2018,354418.2607,4065975.574,265.2675781
2018,354517.5287,4065987.651,238.1640015
2018,354616.7968,4065999.728,232.7453308
2018,354716.0648,4066011.805,232.3970947
2018,354815.3328,4066023.883,232.1487732
2018,354914.6008,4066035.96,231.8566895
2018,355013.8689,4066048.037,231.1537933
2018,355113.1369,4066060.114,230.8645782
2018,355212.4049,4066072.191,230.8482513
2018,355311.673,4066084.268,230.7056427
2018,355410.941,4066096.346,230.6767273
2018,355510.209,4066108.423,230.5831604
2018,355609.4771,4066120.5,232.7108765
2018,355708.7451,4066132.577,241.9284363
2018,355808.0131,4066144.654,252.3091583
2018,355907.2812,4066156.732,268.7269592
2018,356006.5492,4066168.809,274.2962036
2018,356105.8172,4066180.886,277.0357361
2018,356205.0852,4066192.963,272.1755981
2018,356304.3533,4066205.04,285.5551758
2018,356324.0367,4066207.435,287.2345581
2018,354307.7144,4065844.49,319.3883972
2018,354406.6424,4065859.093,261.0732727
2018,354505.5704,4065873.696,241.0088654
2018,354604.4985,4065888.3,233.580719
2018,354703.4265,4065902.903,233.115387
2018,354802.3545,4065917.506,232.9326477
2018,354901.2825,4065932.109,232.6533966
2018,355000.2105,4065946.712,232.1418152
2018,355099.1385,4065961.315,231.6160278
2018,355198.0665,4065975.918,231.5137329
2018,355296.9945,4065990.521,231.3579102
2018,355395.9225,4066005.124,231.302887
2018,355494.8505,4066019.727,231.1572723
2018,355593.7785,4066034.33,232.2980499
2018,355692.7065,4066048.933,256.5569763
2018,355791.6345,4066063.536,275.0812988
2018,355890.5625,4066078.139,270.3976135
2018,355989.4905,4066092.743,280.629364
2018,356088.4185,4066107.346,281.0332031
2018,356187.3465,4066121.949,275.1944885
2018,356286.2746,4066136.552,275.7601929
2018,356385.2026,4066151.155,286.7940674
2018,356386.4785,4066151.343,286.7940674
2018,354306.3459,4065743.216,312.2541809
2018,354405.2756,4065757.807,262.2020569
2018,354504.2053,4065772.398,242.3614197
2018,354603.1351,4065786.99,234.001358
2018,354702.0648,4065801.581,233.6939392
2018,354800.9946,4065816.172,233.5850983
2018,354899.9243,4065830.764,233.3642426
2018,354998.854,4065845.355,232.743866
2018,355097.7838,4065859.946,232.3154144
2018,355196.7135,4065874.537,232.1776123
2018,355295.6433,4065889.129,232.0019379
2018,355394.573,4065903.72,232.0059509
2018,355493.5027,4065918.311,232
2018,355592.4325,4065932.903,240.4988556
2018,355691.3622,4065947.494,257.2059937
2018,355790.292,4065962.085,274.7999573
2018,355889.2217,4065976.677,280.0032959
2018,355988.1514,4065991.268,283.2229614
2018,356087.0812,4066005.859,282.5380554
2018,356186.0109,4066020.451,281.2923584
2018,356284.9407,4066035.042,263.1258545
2018,356383.8704,4066049.633,274.1787109
2018,356482.8001,4066064.225,275.8137512
2018,356581.7299,4066078.816,279.4949341
2018,356680.6596,4066093.407,281.2267761
2018,356685.9874,4066094.193,281.2644653
2018,354308.2128,4065642.416,312.90271
2018,354407.1437,4065657,264.5366516
2018,354506.0745,4065671.583,242.0030212
2018,354605.0054,4065686.167,234.7254181
2018,354703.9363,4065700.75,234.2347107
2018,354802.8672,4065715.334,234.2259979
2018,354901.7981,4065729.917,234.0783081
2018,355000.729,4065744.501,233.4642792
2018,355099.6599,4065759.084,232.983963
2018,355198.5908,4065773.668,232.7849884
2018,355297.5217,4065788.251,232.7294006
2018,355396.4526,4065802.835,232.9617157
2018,355495.3835,4065817.418,232.0635681
2018,355594.3144,4065832.002,248.8434296
2018,355693.2453,4065846.585,259.8129578
2018,355792.1762,4065861.169,275.1625366
2018,355891.1071,4065875.752,274.368927
2018,355990.038,4065890.335,268.0688171
2018,356088.9689,4065904.919,262.3981018
2018,356187.8998,4065919.502,258.7484131
2018,356286.8307,4065934.086,263.0713806
2018,356385.7616,4065948.669,266.5560913
2018,356484.6925,4065963.253,271.0270081
2018,356583.6233,4065977.836,275.3074951
2018,356682.5542,4065992.42,278.4383545
2018,356712.4458,4065996.826,281.0248718
2018,354296.9865,4065539.693,291.9339294
2018,354395.9249,4065554.226,268.0349426
2018,354494.8632,4065568.759,242.8896027
2018,354593.8016,4065583.292,235.7129364
2018,354692.7399,4065597.825,235.0835266
2018,354791.6783,4065612.357,234.8822784
2018,354890.6166,4065626.89,234.700592
2018,354989.5549,4065641.423,234.4378357
2018,355088.4933,4065655.956,233.9157562
2018,355187.4316,4065670.489,233.5235596
2018,355286.37,4065685.022,233.5630035
2018,355385.3083,4065699.555,233.9860382
2018,355484.2467,4065714.087,233.3856201
2018,355583.185,4065728.62,236.3739929
2018,355682.1234,4065743.153,250.5113525
2018,355781.0617,4065757.686,255.3733673
2018,355880,4065772.219,249.046936
2018,355978.9384,4065786.752,250.8458405
2018,356077.8767,4065801.285,252.3702087
2018,356176.8151,4065815.818,263.5600281
2018,356275.7534,4065830.35,267.9884338
2018,356374.6918,4065844.883,271.6046753
2018,356443.6286,4065855.009,274.0245667
2018,354230.9055,4065428.91,288.0890808
2018,354329.8167,4065443.626,263.9641724
2018,354428.7279,4065458.343,251.3530426
2018,354527.6392,4065473.059,236.8584595
2018,354626.5504,4065487.775,235.9970856
2018,354725.4616,4065502.492,235.7885284
2018,354824.3729,4065517.208,235.4106293
2018,354923.2841,4065531.924,235.2700195
2018,355022.1953,4065546.64,235.0331421
2018,355121.1065,4065561.357,234.6460876
2018,355220.0178,4065576.073,234.418396
2018,355318.929,4065590.789,234.5040894
2018,355417.8402,4065605.506,234.6809845
2018,355516.7515,4065620.222,234.0585632
2018,355615.6627,4065634.938,234.1392975
2018,355714.5739,4065649.654,245.2551575
2018,355813.4851,4065664.371,250.1412506
2018,355912.3964,4065679.087,250.5625153
2018,356011.3076,4065693.803,256.9875488
2018,356110.2188,4065708.52,261.0942078
2018,356209.13,4065723.236,270.0369568
2018,356308.0413,4065737.952,272.1516724
2018,356362.1368,4065746.001,273.1150513
2018,353489.1794,4065222.76,279.8939209
2018,353588.1294,4065237.213,275.4853516
2018,353687.0794,4065251.666,274.2125854
2018,353786.0294,4065266.12,274.0454407
2018,353884.9794,4065280.573,274.6359863
2018,353983.9294,4065295.026,274.4282227
2018,354082.8794,4065309.479,276.5404358
2018,354181.8294,4065323.933,272.2445068
2018,354280.7794,4065338.386,272.9668579
2018,354379.7294,4065352.839,248.7416687
2018,354478.6794,4065367.293,239.9637146
2018,354577.6294,4065381.746,236.6442566
2018,354676.5794,4065396.199,236.4919891
2018,354775.5294,4065410.652,236.1808624
2018,354874.4794,4065425.106,236.0044403
2018,354973.4294,4065439.559,235.8159027
2018,355072.3794,4065454.012,235.6426239
2018,355171.3294,4065468.466,235.5067596
2018,355270.2794,4065482.919,235.5692902
2018,355369.2294,4065497.372,235.4373627
2018,355468.1794,4065511.825,235.3889618
2018,355567.1294,4065526.279,234.2246704
2018,355666.0794,4065540.732,238.0128632
2018,355765.0294,4065555.185,252.9181824
2018,355863.9794,4065569.639,261.8985901
2018,355962.9294,4065584.092,265.5258484
2018,356061.8794,4065598.545,259.6239319
2018,356160.8294,4065612.998,272.3067627
2018,356259.7794,4065627.452,273.7255249
2018,356325.0951,4065636.992,270.0139465
2018,353628.8797,4065139.151,287.1139221
2018,353727.8197,4065153.672,272.1573181
2018,353826.7598,4065168.194,266.5638123
2018,353925.6998,4065182.715,264.8404846
2018,354024.6399,4065197.236,262.7721558
2018,354123.5799,4065211.757,263.8538513
2018,354222.52,4065226.279,262.7803345
2018,354321.46,4065240.8,258.4790649
2018,354420.4001,4065255.321,245.7989197
2018,354519.3401,4065269.842,237.684906
2018,354618.2802,4065284.363,237.2305756
2018,354717.2202,4065298.885,237.08255
2018,354816.1603,4065313.406,236.7726746
2018,354915.1003,4065327.927,236.5717011
2018,355014.0404,4065342.448,236.5319519
2018,355112.9804,4065356.97,236.4525604
2018,355211.9205,4065371.491,236.5117035
2018,355310.8605,4065386.012,236.5019226
2018,355409.8006,4065400.533,236.2509613
2018,355508.7407,4065415.054,236.1389771
2018,355607.6807,4065429.576,235.0167389
2018,355706.6208,4065444.097,235.9267883
2018,355805.5608,4065458.618,249.5910645
2018,355904.5009,4065473.139,265.6733093
